title,b_title,desc,has multi,#epis,img_url,epi_urls
"宇宙奇观,Wonders of the Universe",宇宙奇观：第1集_纪录片_bilibili_哔哩哔哩,Brian Cox教授带我们用物理学揭开种种宇宙奇迹的奥秘，阐释人类和宇宙的深邃联系。茫茫宇宙，人类从何而来？宇宙又将走向何处？带着万千的疑问，我们跟随Brian Cox教授一起感受地球上罕见的景观，,True,4,http://i0.hdslb.com/bfs/archive/147ac5f05dab5e02df6eaccb05e0e59461b6dfa7.png,"['https://www.bilibili.com/bangumi/play/ep119047/', 'https://www.bilibili.com/bangumi/play/ep119048', 'https://www.bilibili.com/bangumi/play/ep119049', 'https://www.bilibili.com/bangumi/play/ep119050']"
"神奇的月球,Wonders of the Moon",神奇的月球_纪录片_bilibili_哔哩哔哩,"血月、超级月亮和月全食。bilibili & BBC联合出品的《神奇的月球》带你探索月球之美，了解它对我们自然世界的影响。
夜间拍摄月亮很难，但是，新式的低照度摄影机和数码望远镜终于能捕捉到在自然光下",False,1,http://i0.hdslb.com/bfs/bangumi/557ef348131a9a5f1313f14674391b5d750e3bb0.png,['https://www.bilibili.com/bangumi/play/ep193265/']
"零度以下的生活:消融 第一季,LIFE BELOW ZERO - THE THAW: SERIES",零度以下的生活:消融 第一季：第1集_纪录片_bilibili_哔哩哔哩,对四个生活在这片远离人烟的无情领土的不同角落的家庭来说，春天已经回来。严冬过后，在遥远的阿拉斯加，破冰正在进行。《零度以下的生活》的几个坚强的角色面临着全新的挑战。从许多方面来说，春季比冬天难捱多了，,True,6,http://i0.hdslb.com/bfs/archive/7d6e289149d3b27bb862cf6ab1198c65c3c48091.png,"['https://www.bilibili.com/bangumi/play/ep118878/', 'https://www.bilibili.com/bangumi/play/ep118879', 'https://www.bilibili.com/bangumi/play/ep118880', 'https://www.bilibili.com/bangumi/play/ep118881', 'https://www.bilibili.com/bangumi/play/ep118882', 'https://www.bilibili.com/bangumi/play/ep118883']"
"黑洞吞噬,Horizon: Swallowed by a Black Hole,黑洞吞噬",黑洞吞噬_纪录片_bilibili_哔哩哔哩,"在银河系黑暗中心的深处，距地球月26,000光年的地方，一场罕见巨变即将展开。一团地球三倍大小的气云——可能是某个衰亡的恒星，即将经历不可避免的壮观毁灭。科学家预测，截止到2013年4月，这团名为G2",False,1,http://i0.hdslb.com/bfs/archive/288450d102b88786c1352f020697437f97394143.png,['https://www.bilibili.com/bangumi/play/ep120940/']
"地平线系列：小猫日记,Horizon: Little Cat Diaries",地平线系列：小猫日记_纪录片_bilibili_哔哩哔哩,在《BBC地平线：猫的秘密生活》的基础上，更细致地讲述了四只特定的猫的独特习性。,False,1,http://i2.hdslb.com/bfs/archive/dd9ce8a8b0c67ba026e0653eaae81808bfd6c441.png,['https://www.bilibili.com/bangumi/play/ep120835/']
"幻影与银影 劳斯莱斯的百年企业史,Phantoms&Shadows 100 years of Rolls-Royce",幻影与银影 劳斯莱斯的百年企业史：第1集_纪录片_bilibili_哔哩哔哩,劳斯莱斯豪车 曾是那么的光彩夺目。美得无比自然 仿佛与工程毫无关系。专属国王与贵族们的座驾。可现在呢 它代表的难道仅是明星 银行家 又或是花花公子们炫耀身份的象征吗？这是一个关于劳斯莱斯幻影、银影以及,True,2,http://i0.hdslb.com/bfs/archive/7df1fe4b97ab9a2a77c5ffb299a5a1c9946ce16b.png,"['https://www.bilibili.com/bangumi/play/ep203926/', 'https://www.bilibili.com/bangumi/play/ep203927']"
"【纪录片】于贝尔·德·纪梵希：高级定制的生活-Hubert de Givenchy : a Life,服饰,秀场,奥黛丽·赫本,赫本,高级定制,时尚,奢侈,纪梵希,大秀,买买买,纪录片,人文·历史,哔哩哔哩,Bilibili,B站,弹幕",【纪录片】于贝尔·德·纪梵希：高级定制的生活-Hubert de Givenchy : a Life_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,摄影师Eric Pellerin 独家对话老年纪梵希，共同回忆法国高级时装缔造者的青年时代，以及品牌发展历史，有各路明星的影像为证，包括奥黛丽赫本，肯尼迪夫人。,False,1,http://i2.hdslb.com/bfs/archive/6e1452fe6112dda5662956067926d928791af86f.png,['https://www.bilibili.com/video/av16623044']
"我该吃肉吗,Horizon: Should I Eat Meat?,無肉不歡？,该不该吃肉.健康大问题",我该吃肉吗_纪录片_bilibili_哔哩哔哩,Dr Michael Mosley seeks to establish the truth about meat. Are those barbecue favourites like burger,False,1,http://i1.hdslb.com/bfs/archive/4d39a8dfdf54f2b4423970faeb3991450dabc1b6.png,['https://www.bilibili.com/bangumi/play/ep120927/']
"威廉，凯特与乔治:新王室家庭,William, Kate & George: A New Royal Family,威廉凯特与乔治·新王室家庭",威廉，凯特与乔治:新王室家庭_纪录片_bilibili_哔哩哔哩,本片讲述了一个令全世界期待的故事，关于英国王位继承人威廉王子迎娶典型的邻家女孩——凯特·米德尔顿的故事。然而这对俊男靓女究竟是如何联姻，凯特来自哪里，这桩婚姻对于英国君主制的未来又有怎样的意义呢？在密,False,1,http://i2.hdslb.com/bfs/archive/c9862958ebfa8a85ad4c4c84f7ae68e04c82cb16.png,['https://www.bilibili.com/bangumi/play/ep119101/']
"如何建造星球,How to Build a Planet,BBC 怎样建造一个星球",如何建造星球：第一集_纪录片_bilibili_哔哩哔哩,这是终极的工程项目：怎样建造一个星球、太阳系和银河系？要从头开始建设宇宙需要什么？如果你出了错会出现什么情况？和其他任何建设工程一样，这也会出错。把月亮放到错误的位置，或者混合物里的铁有点多……。,True,2,http://i2.hdslb.com/bfs/archive/5fae26572518e32d247a7beccc32660d163ba6fa.png,"['https://www.bilibili.com/bangumi/play/ep118924/', 'https://www.bilibili.com/bangumi/play/ep118925']"
